AudioFileOriginal	Sentence	AudioFileNew
Audio_000.wav	search first to find it	Audio_question.wav
Audio_001.wav	big small eggplant	Audio_stim_00_prodEggplant-adj1Small-adj2Big_order2_pros1.wav
Audio_002.wav	fat thin turnip	Audio_stim_08_prodTurnip-adj1Thin-adj2Fat_order2_pros2.wav
Audio_003.wav	sweet tart pear	Audio_stim_07_prodPear-adj1Tart-adj2Sweet_order2_pros2.wav
Audio_004.wav	dry strong cabbage	Audio_stim2_11_prodCabbage-adj1Dry-adj2Strong_order1_pros1.wav
Audio_005.wav	round brussels sprout	Audio_stimFill_09_prodRoundBrusselsSprout-adj1Tasty-adj2Yucky_order0_pros0.wav
Audio_006.wav	small big eggplant	Audio_stim_00_prodEggplant-adj1Small-adj2Big_order1_pros2.wav
Audio_007.wav	sweet tart pear	Audio_stim_07_prodPear-adj1Tart-adj2Sweet_order2_pros1.wav
Audio_008.wav	black strawberry	Audio_stimFill_02_prodBlackStrawberry-adj1Cold-adj2Hot_order0_pros0.wav
Audio_009.wav	expensive strong rhubarb	Audio_stim2_07_prodRhubarb-adj1Expensive-adj2Strong_order1_pros2.wav
Audio_010.wav	fat thin turnip	Audio_stim_08_prodTurnip-adj1Thin-adj2Fat_order2_pros1.wav
Audio_011.wav	short long leek	Audio_stim_02_prodLeek-adj1Short-adj2Long_order1_pros1.wav
Audio_012.wav	juicy cheap peach	Audio_stim2_00_prodPeach-adj1Cheap-adj2Juicy_order2_pros2.wav
Audio_013.wav	juicy expensive mango	Audio_stim2_01_prodMango-adj1Expensive-adj2Juicy_order2_pros1.wav
Audio_014.wav	dry expensive pumpkin	Audio_stim2_03_prodPumpkin-adj1Expensive-adj2Dry_order2_pros1.wav
Audio_015.wav	cheap expensive banana	Audio_stim_01_prodBanana-adj1Cheap-adj2Expensive_order1_pros2.wav
Audio_016.wav	heavy light watermelon	Audio_stim_04_prodWatermelon-adj1Light-adj2Heavy_order2_pros1.wav
Audio_017.wav	dry strong cabbage	Audio_stim2_11_prodCabbage-adj1Dry-adj2Strong_order1_pros2.wav
Audio_018.wav	juicy cheap peach	Audio_stim2_00_prodPeach-adj1Cheap-adj2Juicy_order2_pros1.wav
Audio_019.wav	sparse dense broccoli	Audio_stim_10_prodBroccoli-adj1Sparse-adj2Dense_order1_pros2.wav
Audio_020.wav	bright dark clementine	Audio_stim_05_prodClementine-adj1Dark-adj2Bright_order2_pros1.wav
Audio_021.wav	juicy strong onion	Audio_stim2_10_prodOnion-adj1Juicy-adj2Strong_order1_pros2.wav
Audio_022.wav	cheap juicy peach	Audio_stim2_00_prodPeach-adj1Cheap-adj2Juicy_order1_pros1.wav
Audio_023.wav	expensive juicy mango	Audio_stim2_01_prodMango-adj1Expensive-adj2Juicy_order1_pros2.wav
Audio_024.wav	dirty clean mushroom	Audio_stim_11_prodMushroom-adj1Dirty-adj2Clean_order1_pros1.wav
Audio_025.wav	stale fresh potato	Audio_stim_06_prodPotato-adj1Stale-adj2Fresh_order1_pros1.wav
Audio_026.wav	clean dirty mushroom	Audio_stim_11_prodMushroom-adj1Dirty-adj2Clean_order2_pros1.wav
Audio_027.wav	pretty ugly zucchini	Audio_stim_03_prodZucchini-adj1Ugly-adj2Pretty_order2_pros2.wav
Audio_028.wav	blood orange	Audio_stimFill_03_prodBloodOrange-adj1Juicy-adj2Sour_order0_pros0.wav
Audio_029.wav	salty plantain	Audio_stimFill_06_prodSaltyPlaintain-adj1Savory-adj2Salty_order0_pros0.wav
Audio_030.wav	cheap weak lime	Audio_stim2_04_prodLime-adj1Cheap-adj2Weak_order1_pros1.wav
Audio_031.wav	strong dry cabbage	Audio_stim2_11_prodCabbage-adj1Dry-adj2Strong_order2_pros1.wav
Audio_032.wav	bitter sweet okra	Audio_stimFill_10_prodBitterSweetOkra-adj1Bitter-adj2Purple_order0_pros0.wav
Audio_033.wav	flavorful mild apple	Audio_stim_09_prodApple-adj1Mild-adj2Flavorful_order2_pros1.wav
Audio_034.wav	expensive strong rhubarb	Audio_stim2_07_prodRhubarb-adj1Expensive-adj2Strong_order1_pros1.wav
Audio_035.wav	weak juicy pomegranate	Audio_stim2_08_prodPomegranate-adj1Juicy-adj2Weak_order2_pros2.wav
Audio_036.wav	small big eggplant	Audio_stim_00_prodEggplant-adj1Small-adj2Big_order1_pros1.wav
Audio_037.wav	dry cheap grapefruit	Audio_stim2_02_prodGrapefruit-adj1Cheap-adj2Dry_order2_pros1.wav
Audio_038.wav	strong juicy onion	Audio_stim2_10_prodOnion-adj1Juicy-adj2Strong_order2_pros1.wav
Audio_039.wav	ugly pretty zucchini	Audio_stim_03_prodZucchini-adj1Ugly-adj2Pretty_order1_pros2.wav
Audio_040.wav	expensive cheap banana	Audio_stim_01_prodBanana-adj1Cheap-adj2Expensive_order2_pros2.wav
